region,category,ticker,status,error,action,confidence,last_close,trend,mom_3m,mom_6m,vol_20d_ann,rsi14,range_1d,range_1w,range_1m
asx,Technology,XRO.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=xro.au&i=d,HOLD,0,,0,,,,,,,
asx,Technology,WTC.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=wtc.au&i=d,HOLD,0,,0,,,,,,,
asx,Technology,CPU.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=cpu.au&i=d,HOLD,0,,0,,,,,,,
asx,Technology,NEA.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=nea.au&i=d,HOLD,0,,0,,,,,,,
asx,Technology,ALU.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=alu.au&i=d,HOLD,0,,0,,,,,,,
asx,Communication Services,REA.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=rea.au&i=d,HOLD,0,,0,,,,,,,
asx,Communication Services,CAR.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=car.au&i=d,HOLD,0,,0,,,,,,,
asx,Communication Services,SEK.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=sek.au&i=d,HOLD,0,,0,,,,,,,
asx,Communication Services,TPG.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=tpg.au&i=d,HOLD,0,,0,,,,,,,
asx,Communication Services,SGP.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=sgp.au&i=d,HOLD,0,,0,,,,,,,
asx,Health Care,CSL.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=csl.au&i=d,HOLD,0,,0,,,,,,,
asx,Health Care,RMD.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=rmd.au&i=d,HOLD,0,,0,,,,,,,
asx,Health Care,ANN.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=ann.au&i=d,HOLD,0,,0,,,,,,,
asx,Health Care,COH.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=coh.au&i=d,HOLD,0,,0,,,,,,,
asx,Health Care,PME.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=pme.au&i=d,HOLD,0,,0,,,,,,,
asx,Energy,WDS.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=wds.au&i=d,HOLD,0,,0,,,,,,,
asx,Energy,STO.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=sto.au&i=d,HOLD,0,,0,,,,,,,
asx,Energy,BPT.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=bpt.au&i=d,HOLD,0,,0,,,,,,,
asx,Energy,ORG.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=org.au&i=d,HOLD,0,,0,,,,,,,
asx,Energy,AGL.AX,NO_DATA,404 Client Error: Not Found for url: https://stooq.com/q/d/l/?s=agl.au&i=d,HOLD,0,,0,,,,,,,
